RecordId,RecordType,Status,Parent,Reference,AccessCondition,Administrative Context,Arrangement,Copies Information,Custodial History,Date Range,Decimal Latitude,Decimal Longitude,Description Language,Description Language Code,Description Script,Description Script Code,End Date,Extent & Format,External Ref,Imm Source Acq,Legal Status,Level of Detail,Languages,Language Codes,Scripts,Script Codes,Material Type,MDARK,Note,ObjectURL,OrigInfo,Physical Characteristics,Project Collection,Publication Note,Related Material,Scope & Content,Sibling Order,Start Date,Title,User Conditions,Creators,Related Names,Related Places,Related Subjects,Related Archive Descriptions,,,Logical label
032-002360460,Fonds,Published,,EAP310/1,Unrestricted,"EAP310 was funded by the Endangered Archives Programme. It created digital copies of records held by Thadrak temple. This original collection is owned and looked after by monks of Thadrak temple and the descendents of the founder of Thadrak, Rig 'dzin gSang sngags rGya mtsho. No one has the right to remove the collection from its current location but the Royal Government of Bhutan and the family who controls the right of access to the collection. The temple ownership is currently in the process of being transferred from the family to the 5th King of Bhutan.",,Additional digital copies have been deposited with The National Library and Archives of Bhutan and the Thadrak Temple.,"The digital images in this collection were created as part of the EAP310 project responsible for the digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples, with the permission of the Thadrak Temple and the family of its founder.",1650-1950,,,English,eng,Latin,Latn,1950,"142 folders containing 57,806 TIFF images; 1,509GB",,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000094.0x000097,,,Original material is held at the Thadrak Temple,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The collection contains a manuscript copy of the entire Kanjur canon and many religious and philosophical literatures including a great number of works by local Bhutanese scholars. Since the foundation of Thadrak temple by gSang sngags rGya mtsho at the end of the 17th century, the temple was governed by his nephew and subsequently by his descendants. Like some of the oldest Tibetan monastic establishments, this temple was passed down from uncle to nephew. This practice has died out in other places replaced by patrilineal or incarnation lines. From the physical appearance of the books, they were mostly produced in Bhutan approximately between 1650 and 1950 CE, and in the local area. 143 volumes of manuscripts on paper in loose leaf poti format. Dates of original material: Approximately 1650 - 1950 CE. Script(s) of material: Tibetan dBu can and dBu med 'bru tsha scripts.",0,1650,The Manuscript Collection of Thadrak Temple@en,,,,"Bhutan, Asia, Unspecified",Buddhism,,,,
036-002360461,Series,Published,032-002360460,EAP310/1/1,Unrestricted,The series was created in Thadrak and has always remained in the temple. The family of the founder appoints caretakers of the temple and all its contents including this series of manuscripts.,"Traditional Tibetan Buddhist Kanjur system of arrangement is used. The canon is sub-divided into rGyud 'bum, 'Dul ba, mDo sde, Sher phyin, Phal chen, dKon brtsegs and Myang 'das.",,,1650-1950,,,English,eng,Latin,Latn,1950,"108 folders containing 48,772 TIFF images; 1,240.8GB",,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000083.0x00017f,,,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The Kanjur manuscript contains 109 volumes including 20 volumes of rGyud 'bum, 3 volumes of Nyingma rGyud 'bum, 1 volumes of Dus 'khor, 2 volumes of Shri dri med 'od, 32 volumes of mDo sde, 13 volumes of 'Dul ba, 16 volumes of Sher phyin, 6 volumes of dKon brtsegs, 6 volumes of Phal chen, 4 volumes of Myang 'das. The canon includes the earliest sermons of the Buddha, the dialogues between him and his disciples, monastic codes of discipline, the large Mahayana sutras which appeared around the beginning of the first millennium and the tantric literature, which is also attributed to the Buddha but appeared from the middle of the first millennium. The Kanjur canon contains Tibetan translation of these canonical Buddhist scriptures which were produced largely between 8th and 13th century. The texts form the foundation of Tibetan Buddhism. 109 volumes of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryScript(s) of material: Tibetan dBu can script.",1,1650,bka’ ‘gyur/ (tha brag/),,,,"Bhutan, Asia, Unspecified",,,,,
040-002360462,File,Published,036-002360461,EAP310/1/1/1,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 526 TIFF images; 12.1GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001d4,,http://eap.bl.uk/database/overview_item.a4d?catId=19378;r=10356,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Manjushrinamasangiti and Kalacakratantra. The tantras were composed in the first millennium and translated into Tibetan. The first one deals with the names and epithets of the Buddha of Wisdom, Manjushri. It is presented as a sermon delivered by the historical Buddha in praise of Manjushri. The Kalacakatantras deals with meditation and ritual practice around the deity Kalacakra. It is also one of the major sources of Tibetan astrology. The volume contains tantric literature such as Manjushrimulasamgiti and Kalacakra tantras. This kanjur canons begins with the Manjushrinamasamgiti unlike some other kanjur canons in Bhutan which begin with Cakrasamvara. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 526 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KaScript(s) of material: Tibetan dBu can script.",1,1650,rGyud 'bum Ka,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360471,File,Published,036-002360461,EAP310/1/1/10,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 462 TIFF images; 10.6GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x0001dd,,http://eap.bl.uk/database/overview_item.a4d?catId=19387;r=20433,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains tantric literature such as Shrivajraalokatantra. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume of 462 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: ThaScript(s) of material: Tibetan dBu can script.",10,1650,rGyud 'bum Tha,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360561,File,Published,036-002360461,EAP310/1/1/100,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 512 TIFF images; 14.5GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000237,,http://eap.bl.uk/database/overview_item.a4d?catId=19477;r=9023,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the teachings on the Perfection of Wisdom in 100,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 512 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: AScript(s) of material: Tibetan dBu can script.",100,1650,'Bum A,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360562,File,Published,036-002360461,EAP310/1/1/101,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 540 TIFF images; 12.4GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000238,,http://eap.bl.uk/database/overview_item.a4d?catId=19478;r=29410,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 20,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 540 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KaScript(s) of material: Tibetan dBu can script.",101,1650,Nyi khri Ka,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360563,File,Published,036-002360461,EAP310/1/1/102,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 541 TIFF images; 12.4GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x000239,,http://eap.bl.uk/database/overview_item.a4d?catId=19479;r=16644,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 20,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 541 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KhaScript(s) of material: Tibetan dBu can script.",102,1650,Nyi khri Kha,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360564,File,Published,036-002360461,EAP310/1/1/103,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 538 TIFF images; 15.2GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00023a,,http://eap.bl.uk/database/overview_item.a4d?catId=19480;r=31590,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 20,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 538 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: AScript(s) of material: Tibetan dBu can script.",103,1650,Nyi khri A,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360565,File,Published,036-002360461,EAP310/1/1/104,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 462 TIFF images; 18.6GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00023b,,http://eap.bl.uk/database/overview_item.a4d?catId=19481;r=16405,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 20,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 462 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KaScript(s) of material: Tibetan dBu can script.",104,1650,Nyi khri Ka,,,,"Bhutan, Asia, Unspecified",,,,,
040-002360566,File,Published,036-002360461,EAP310/1/1/105,Unrestricted,,,,,1650-1950,,,English,eng,Latin,Latn,1950,1 folder containing 421 TIFF images; 9.70GB,,,Not Public Record(s),Minimum (Archive Desc),Tibetan,tib,Tibetan,Tibt,Archives and Manuscripts,ark:/81055/vdc_100000000926.0x00023c,,http://eap.bl.uk/database/overview_item.a4d?catId=19482;r=4590,,,"The digital documentation of manuscripts in Thadrak, Tshamdrak and Neyphug Temples",,,"The volume contains the Perfection of Wisdom in 20,000 verses. The volume is written on cream coloured traditional Bhutanese paper made from dahpne bark. It is written in black ink. The text is wrapped in several layers of cloth and bound between two think wood covers. The leaves are roughly 62x11.5cm. The first folios of the kanjur series have a deep blue background in the text box, most likely painted using malachite. Letters are written in gold ink. The text starts on the verso of the first folio which also has a silk cover. 1 volume containing 421 folios of manuscripts on paper in loose leaf poti format.Dates of original material: probably 18th centuryVolume: KhaScript(s) of material: Tibetan dBu can script.",105,1650,Nyi khri Kha,,,,"Bhutan, Asia, Unspecified",,,,,
