BDRC Control,BDRC RID,BDRC IG,Record Number,Title,Author,Topic,Topic RID,Collection,Language,Script,Material,"Support (Manuscript, Pecha, book, etc.)",Creation Date (if known),Creation Date in Common Era,"Dimensions 1 (i.e. Length, etc. in cm)","Dimensions 2 (i.e. Height, etc. in cm)",Number of folios,Lines per leaf/folio,rKTs number (if applicable),Notes,Publisher,Publication Date,Publisher Location,Series,Volume
W1NPL1-I1NPL1,W1NPL1,I1NPL1,0001,Pratyaṅgirā mahāvidyā rājñī,,Dhāraṇī,T933,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,NS 964,1843 CE,25 cms,7.6 cms,21,5,N/A,,,,,,
W1NPL2-I1NPL2,W1NPL2,I1NPL2,0002,Aṣṭamīvratayā mahātmya kathā,,Avadāna,T1779,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,26 cms,9.8 cms,50,6,N/A,,,,,,
W1NPL84-I1NPL84,W1NPL84,I1NPL84,0084,Yamārya lokeśvara,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Yellow Paper,Manuscript,NS 1089,1968 CE,22 cms,15 cms,9,11,N/A,,,,,,
W1NPL174-I1NPL174,W1NPL174,I1NPL174,0085,Yamakathā,,Stotra,T67,Sagar Byanjankar,Sanskrit,Devanagari,Bound Mss.,Manuscript,BS 2009,1952 CE,23 cms,17 cms,12,"12,13",N/A,,,,,,
W1NPL89-I1NPL89,W1NPL89,I1NPL89,0089,Viśvantara avadāna,,Avadāna,T1779,Rūpaskandha Bajracharya,Sanskrit,Devanagari,Yellow Paper,Manuscript,NS 986,1865 CE,22cms,4cms,26,6,N/A,,,,,,
W1NPL141-I1NPL141,W1NPL141,I1NPL141,0090,Vicitra karṇikānahāne daśamodhyāya,,Avadāna,T1779,Yagya Ratna Shakya,Sanskrit,Devanagari,Thyāsaphū,Manuscript,,,30 cms,11.5 cms,52,7,N/A,,,,,,
W1NPL163-I1NPL163,W1NPL163,I1NPL163,0091,Vasudhārāyānāmāṣṭhāturaṁśatakaṁ buddhabhāṣitaṁ,,Stotra,T67,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,20 cms,7 cms,4,5,N/A,,,,,,
W1NPL73-I1NPL73,W1NPL73,I1NPL73,0073,Vasudhārā Kathā,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,14cms,6cms,11,6,N/A,,,,,,
W1NPL9-I1NPL9,W1NPL9,I1NPL9,0009,Vāstuśāstra pūjā,,Vāstuśāstra,T2516,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,20 cms,9.2 cms,28,7 +,N/A,,,,,,
W1NPL197-I1NPL197,W1NPL197,I1NPL197,0010,Vāstupūjā,,Vāstuvidhi,T2516,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,18.2 cms,8 cms,29,"7,8,9",N/A,,,,,,
W1NPL98-I1NPL98,W1NPL98,I1NPL98,0098,Vajrayoginī stotra,,Stotra,T67,Shantasri Ratna Bajracharya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,13cms,5cms,11,6,N/A,,,,,,
W1NPL175-I1NPL175,W1NPL175,I1NPL175,0099,Vāgamati tīrthayātrā,,Ritual,T977,Sagar Byanjankar,Nepali,Devanagari,Bound Mss.,Manuscript,,,23.5 cms,16 cms,16,20,N/A,,,,,,
W1NPL120-I1NPL120,W1NPL120,I1NPL120,0100,Uṣṇīṣavijaya dhāraṇī,,Dhāraṇī,T933,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,,,15.5 cms,13 cms,8,16,K592/K588 ,,,,,,
W1NPL25-I1NPL25,W1NPL25,I1NPL25,0025,Upoṣatha devaputra kathā,,Kathā,T216,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,30 cms,8cms,50,7,N/A,,,,,,
W1NPL115-I1NPL115,W1NPL115,I1NPL115,0026,Upoṣadha devaputra maṁtrasādhana kathā,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,,,30 cms,15 cms,9,10,N/A,,,,,,
W1NPL81-I1NPL81,W1NPL81,I1NPL81,0081,Upatīrtha mahātīrtha,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Yellow Paper,Manuscript,BS 2020,1963 CE,18 cms,12 cms,16,14,N/A,,,,,,
W1NPL3-I1NPL3,W1NPL3,I1NPL3,0003,Unidentified,,,,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,NS 1101,1980 CE,24.5 cms,7.9 cms,16,6,N/A,,,,,,
W1NPL6-I1NPL6,W1NPL6,I1NPL6,0006,Unidentified,,,,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,,,,,N/A,,,,,,
W1NPL11-I1NPL11,W1NPL11,I1NPL11,0011,Unidentified,,,,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,22.3 cms,10 cms,36,7 +,N/A,,,,,,
W1NPL18-I1NPL18,W1NPL18,I1NPL18,0018,Unidentified,,,,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,23 cms,10 cms,89,10,N/A,,,,,,
W1NPL19-I1NPL19,W1NPL19,I1NPL19,0019,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,21 cms,11 cms,8,9,N/A,,,,,,
W1NPL20-I1NPL20,W1NPL20,I1NPL20,0020,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,20 cms,6 cms,10,5,N/A,,,,,,
W1NPL28-I1NPL28,W1NPL28,I1NPL28,0028,Unidentified,,Pūjāvidhi and Stotra,T67 & T977,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,18cms,6cms,5,5,N/A,,,,,,
W1NPL31-I1NPL31,W1NPL31,I1NPL31,0031,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Yellow Paper,Manuscript,,,16cms,4cms,19,5,N/A,,,,,,
W1NPL33-I1NPL33,W1NPL33,I1NPL33,0033,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Yellow Paper,Manuscript,,,32cms,6cms,24,9,N/A,,,,,,
W1NPL34-I1NPL34,W1NPL34,I1NPL34,0034,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Yellow Paper,Manuscript,,,24cms,10cms,30,10,N/A,,,,,,
W1NPL35-I1NPL35,W1NPL35,I1NPL35,0035,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Yellow Paper,Manuscript,,,25cms,8cms,66,10,N/A,,,,,,
W1NPL37-I1NPL37,W1NPL37,I1NPL37,0037,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,30cms,4cms,17,6,N/A,,,,,,
W1NPL39-I1NPL39,W1NPL39,I1NPL39,0039,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,30cms,5cms,6,6,N/A,,,,,,
W1NPL40-I1NPL40,W1NPL40,I1NPL40,0040,Unidentified,,,,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Yellow Paper,Manuscript,,,28cms,6cms,9,8,N/A,,,,,,
W1NPL41-I1NPL41,W1NPL41,I1NPL41,0041,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,18cms,11cms,37,10,N/A,,,,,,
W1NPL45-I1NPL45,W1NPL45,I1NPL45,0045,Unidentified,,Pūjāvidhi,T977,Shantasri Ratna Bajracharya,Sanskrit,Pracalita,Yellow Paper,Manuscript,NS 977,1856 CE,20cms,10cms,39,6,N/A,,,,,,
W1NPL47-I1NPL47,W1NPL47,I1NPL47,0047,Unidentified,,Pūjāvidhi,T977,Shantasri Ratna Bajracharya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,16cms,7cms,7,7,N/A,,,,,,
W1NPL49-I1NPL49,W1NPL49,I1NPL49,0049,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Yellow Paper,Manuscript,,,22cms,7.5cms,39,7,N/A,,,,,,
W1NPL50-I1NPL50,W1NPL50,I1NPL50,0050,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,18cms,10cms,28,10,N/A,,,,,,
W1NPL51-I1NPL51,W1NPL51,I1NPL51,0051,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,21.7cms,7.5cms,38,5,N/A,,,,,,
W1NPL53-I1NPL53,W1NPL53,I1NPL53,0053,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,14cms,4cms,15,5,N/A,,,,,,
W1NPL54-I1NPL54,W1NPL54,I1NPL54,0054,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,14cms,7cms,28,7,N/A,,,,,,
W1NPL55-I1NPL55,W1NPL55,I1NPL55,0055,Unidentified,,,,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,NS 808,1687 CE,18.3cms,8cms,10,6,N/A,,,,,,
W1NPL56-I1NPL56,W1NPL56,I1NPL56,0056,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,21cms,8cms,9,6,N/A,,,,,,
W1NPL57-I1NPL57,W1NPL57,I1NPL57,0057,Unidentified,,,,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,20cms,7cms,10,7,N/A,,,,,,
W1NPL58-I1NPL58,W1NPL58,I1NPL58,0058,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,17cms,8.3cms,29,7,N/A,,,,,,
W1NPL59-I1NPL59,W1NPL59,I1NPL59,0059,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,16cms,5.7cms,40,4,N/A,,,,,,
W1NPL60-I1NPL60,W1NPL60,I1NPL60,0060,Unidentified,,Jyotiṣa,T1834,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,18cms,6cms,14,8,N/A,,,,,,
W1NPL61-I1NPL61,W1NPL61,I1NPL61,0061,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Devanagari,Thyāsaphū,Manuscript,,,21cms,8cms,42,7,N/A,,,,,,
W1NPL64-I1NPL64,W1NPL64,I1NPL64,0064,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,11cms,22cms,38,30,N/A,,,,,,
W1NPL65-I1NPL65,W1NPL65,I1NPL65,0065,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,17cms,5cms,105,5,N/A,,,,,,
W1NPL66-I1NPL66,W1NPL66,I1NPL66,0066,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,24.2cms,11 cms,39,7,N/A,,,,,,
W1NPL70-I1NPL70,W1NPL70,I1NPL70,0070,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,17.5cms,8.3cms,23,7,N/A,,,,,,
W1NPL72-I1NPL72,W1NPL72,I1NPL72,0072,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,18.2cms,8cms,15,6,N/A,,,,,,
W1NPL74-I1NPL74,W1NPL74,I1NPL74,0074,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,14cms,5cms,11,5,N/A,,,,,,
W1NPL79-I1NPL79,W1NPL79,I1NPL79,0079,Unidentified,,,,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,18cms,10cms,34,12,N/A,,,,,,
W1NPL80-I1NPL80,W1NPL80,I1NPL80,0080,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,20cms,5cms,67,7,N/A,,,,,,
W1NPL93-I1NPL93,W1NPL93,I1NPL93,0093,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,15cms,4cms,30,10,N/A,,,,,,
W1NPL95-I1NPL95,W1NPL95,I1NPL95,0095,Unidentified,,,,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,14cms,4cms,19,9,N/A,,,,,,
W1NPL99-I1NPL99,W1NPL99,I1NPL99,0099,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Sanskrit,Bhujimol,Thyāsaphū,Manuscript,,,13cms,5cms,38,9,N/A,,,,,,
W1NPL102-I1NPL102,W1NPL102,I1NPL102,0100,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,21 cms,12 cms,28,8,N/A,,,,,,
W1NPL110-I1NPL110,W1NPL110,I1NPL110,0101,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,45 cms,15 cms,76,11,N/A,,,,,,
W1NPL111-I1NPL111,W1NPL111,I1NPL111,0102,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,17.5 cms,7.5 cms,47,6,N/A,,,,,,
W1NPL119-I1NPL119,W1NPL119,I1NPL119,0103,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,,,14.7 cms,10.6 cms,6,6,N/A,,,,,,
W1NPL123-I1NPL123,W1NPL123,I1NPL123,0104,Unidentified,,,,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Bound Mss.,Manuscript,,,21 cms,12.5 cms,10,10,N/A,,,,,,
W1NPL125-I1NPL125,W1NPL125,I1NPL125,0105,Unidentified,,Pūjāvidhi,T977,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Yellow Paper,Manuscript,,,15.5 cms,13 cms,,,N/A,,,,,,
W1NPL128-I1NPL128,W1NPL128,I1NPL128,0106,Unidentified,,Pūjāvidhi,T977,Kiran Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,24 cms,11 cms,39,6,N/A,,,,,,
W1NPL134-I1NPL134,W1NPL134,I1NPL134,0107,Unidentified,,Kathā,T216,Kiran Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,24 cms,11 cms,10,9,N/A,,,,,,
W1NPL135-I1NPL135,W1NPL135,I1NPL135,0108,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Yellow Paper,Manuscript,NS 980,1859 CE,20 cms,5.5 cms,16,4,N/A,,,,,,
W1NPL138-I1NPL138,W1NPL138,I1NPL138,0109,Unidentified,,Liturgy,T977,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Yellow Paper,Manuscript,,,25.5 cms,10.5 cms,3,8,N/A,,,,,,
W1NPL139-I1NPL139,W1NPL139,I1NPL139,0110,Unidentified,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,26 cms,11 cms,31,10,N/A,,,,,,
