0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
rid,abstractText,abstractShort,title,rkts ID,isAbout,mainTitle,altTitle,manifestUrl,material_support,origNotBefore,origNotAfter,origPlaceKey,origPlaceName,script,lang,paperDimHeight,paperDimWidth,textDimHeight,textDimWidth
MS-ADD-01691-00003,"This Nepalese palm-leaf manuscript from the 15th century contains a tantric initiation manual called Abhiṣekavidhi, which describes the rituals to be performed at various stages of the consecration procedure (carefully marked with a final rubric for each subsection). This manual is apparently an excerpt from the Vajrāvalī of Abhayākaragupta, a long and complex work on tantric rituals.","This Nepalese palm-leaf manuscript from the 15th century contains a tantric initiation manual called Abhiṣekavidhi, which",Abhiṣekavidhi,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01691-00003,palm_leaf,,,1000132,Nepal.,,san,"5,2","31,5","3,5","27,5"
MS-ADD-01706-00008,A palm-leaf manuscript of the Lakṣaṇa.,A palm-leaf manuscript of the Lakṣaṇa.,Lakṣaṇa,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01706-00008,palm_leaf,,,,,nepālākṣarā,san,,,,
MS-ADD-01411,A paper manuscript of the .,A paper manuscript of the .,Bhadrakalpāvadāna,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01411,paper,,,,,nepālākṣarā,san,10,43,,
MS-OR-02258,"The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī, and Mahāśītavatī. The earliest evidence for texts grouped together as the ""Five Great Dhāraṇīs"" comes from Tibetan catalogues around 800 CE, but this compendium is somewhat different from the surviving Sanskrit collection, which is preserved in manuscripts dating back to the eleventh century. These scriptures include spells, enumerations of benefits and ritual instructions for use. With the course of time all of them became deified and five related goddesses emerged. It is, however, important to note that the texts themselves do not have any references to these goddesses. According to the colophon, this beautifully illuminated manuscript was written with golden ink on indigo-dyed paper in1695 CE, during the shared reign of three kings, Jitāmitramalla (in the manuscript called Jitāmṛtamalla), Ugramalla and Bhūpatīndramalla (in the manuscript called Indrapratīndramalla). The manuscript was commissioned as an object of worship, probably by a group of Buddhist monks. The first one named is Śrīdevamuni , who seemed to be the major donor; another monk named is Śrījñāna , from the Jetavanamahāvihāra in Bhaktapur (however according to Locke (1985: 462) this vihāra is situated in the village of Thimi near Bhaktapur). Even if commissioned by monks living in Bhaktapur, the manuscript has been written in Kathmandu (the then capital of an independent, separate kingdom)."," The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī,",Pañcarakṣā,T1946,,,,https://cudl.lib.cam.ac.uk/iiif/MS-OR-02258,nep_multi_layered_paper,,,1083263,Bhaktapur.,,san,"10,4","39,2","5,5",32
MS-OR-00728-00003,One of several palm-leaf fragments collected in one bundle under the classmark Or.728. A note on the paper sleeve identifies it as the beginning of the Ādikarmapradīpa.,One of several palm-leaf fragments collected in one bundle under the classmark Or.728. A note on the paper sleeve identifies,Ādikarmapradīpa,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-OR-00728-00003,palm_leaf,,,1000132,Nepal.,nepālākṣarā,san,,,,
MS-ADD-01586,A paper manuscript of the Rāṣṭrapālaparipṛcchā.,A paper manuscript of the Rāṣṭrapālaparipṛcchā.,Rāṣṭrapālaparipṛcchā,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01586,paper,,,,,nepālākṣarā,san,9,37,,
MS-ADD-02199,A palm-leaf manuscript of an Unidentified Collection.,A palm-leaf manuscript of an Unidentified Collection.,Unidentified Collection@en,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-02199,palm_leaf,,,,,nepālākṣarā,san,"5,4","28,2",,
MS-ADD-01691-00002,"A certain Rāṇaṭhaku commmissioned this Nepalese palm-leaf manuscript from the second half of the 12th century. The exact date is now illegible. Dr. D. Wright read it as Nepāla 299, but, as argued by Petech (1984: 64), this seems to be impossible because the date would fall outside the reign of Ānandadeva (1099-1167), the king supposedly mentioned in the colophon, although the portion with his name is now almost completely broken off. Moreover, the date read by Dr. D. Wright cannot be verified, while it might be verified for the following days: Saturday, October 8th, 1149; October 4th, 1152; October 20th, 1156; October 17th, 1158; November 5th, 1166. The manuscript contains a Buddhist text called Kurukullākalpa, a ritual manual dedicated to the tantric goddess Kurukullā. The work is divided into a few chapters with various ritual instructions, including obtaining supernatural powers (siddhi). This manuscript was used in the critical edition done by the 84000 project in 2011.",A certain Rāṇaṭhaku commmissioned this Nepalese palm-leaf manuscript from the second half of the 12th century. The exact,Kurukullākalpa,,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01691-00002,palm_leaf,1149,1166,1000132,Nepal.,,san,"4,5",32,"2,8","9,5"
MS-ADD-01164-00001,"The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī, and Mahāśītavatī. The earliest evidence for texts grouped together as the ""Five Great Dhāraṇīs"" comes from Tibetan catalogues around 800 CE, but this compendium is somewhat different from the surviving Sanskrit collection, which is preserved in manuscripts dating back to the eleventh century. These scriptures include spells, enumerations of benefits and ritual instructions for use. With the course of time all of them became deified and five related goddesses emerged. It is, however, important to note that the texts themselves do not have any references to these goddesses. This illuminated paper manuscript in an ornate script is probably to be dated to the 17th century."," The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī,",Pañcarakṣā,T1946,,,,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01164-00001,nep_multi_layered_paper,1601,1700,1000132,Nepāl.,,san,9,34,"5,3","28,5"
MS-OR-00715-00001,"This fragmentary palm-leaf manuscript is part of a bundle of a few manuscripts (Or.715), all seemingly composed of collections of Buddhist stotras. Five different manuscripts, all from around the 12th-13th century, have been tentatively identified on paleographical and codicological grounds. Further research might shed more light on the subdivision of the whole manuscript bundle. A surviving colophon refers to the Avalokiteśvarasya Nāmāṣṭaśataka."," This fragmentary palm-leaf manuscript is part of a bundle of a few manuscripts (Or.715), all seemingly composed of collections",Āryāvalokiteśvarasya Nāmāṣṭaśatakam,,,Āryāvalokiteśvarasya Nāmāṣṭaśatakam,"Sarvajinadhāturatnakaraṇḍaka nāma Bhagavato
                                Āryāvalokiteśvarasya Nāmāṣṭaśatakam",https://cudl.lib.cam.ac.uk/iiif/MS-OR-00715-00001,palm_leaf,1101,1300,1000132,Nepal.,nepālākṣarā,san,"4,3","27,2","2,5",7
MS-OR-00130,"The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī, and Mahāśītavatī. The earliest evidence for texts grouped together as the ""Five Great Dhāraṇīs"" comes from Tibetan catalogues around 800 CE, but this compendium is somewhat different from the surviving Sanskrit collection, which is preserved in manuscripts dating back to the eleventh century. These scriptures include spells, enumerations of benefits and ritual instructions for use. With the course of time all of them became deified and five related goddesses emerged. It is, however, important to note that the texts themselves do not have any references to these goddesses. This manuscript consists of just a fragment of the last folio, and of original wooden covers bearing extremly refined illuminations with episodes of Buddhist religious history. However, the two covers most probably belonged to another manuscript, since the distance between the two string holes is ca. 14 cm in the fragment and 18 cm in the covers. According to the colophon, the manuscript was written 275 Nepāla Saṃvat, i.e. 1155 CE, in the Hnogal Tol in Pātan (śrīlalitabrumāyāṃ śrīhnāgalaṭolke in the manuscript) (""Hnogal Tol is the same as the Nogalasthāna [...] in the Sundhara(!) ward in Patan"", Petech 1984: 62). After the colophon, a note in Newarī language and Nepālākṣarā script has been added by a previous owner of the manuscript, with the date 812 Nepāla Saṃvat, i.e. 1692 CE, given in the bhūtasaṅkhyā system (samvat netram eka mātrikā)."," The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī,",Pañcarakṣā,T1946,,,,https://cudl.lib.cam.ac.uk/iiif/MS-OR-00130,palm_leaf,,,1000132,Nepāl,,san,"5,7","42,7","1,5","1,5"
MS-OR-00728-00008,One of several palm-leaf fragments collected in one bundle under the classmark Or.728. A single-folio fragment of the Bodhicaryāvatāra (end of chapter 6 and beginnig of chapter 7)..,One of several palm-leaf fragments collected in one bundle under the classmark Or.728. A single-folio fragment of the Bodhicaryāvatāra,Bodhicaryāvatāra,T3216,,,,https://cudl.lib.cam.ac.uk/iiif/MS-OR-00728-00008,palm_leaf,,,1000132,Nepal.,nepālākṣarā,san,,,,
MS-ADD-01326,"The Dhāraṇīsaṅgraha, or Dhāraṇīmantrasaṃgraha, 'Dhāraṇī(-mantra) Collection’ includes hundreds of dhāraṇīs, ""connected with all the chief personages of the Buddhist Pantheon, as well as with some of the chief literary works: e.g. the 'Lotus' and the Laṅkāvatāra (Bendall 1883: 49)"". This important Buddhist text remains unedited. This beautifully illuminated paper manuscript from Nepāl is dated to 1719 CE, and has been written in the Tarumūla Mahāvihāra in Kathmandu by a Buddhist scribe named Patideva, during the reign of Jayamahendrasiṃha Malla (1714-1722). It was commissioned by a Buddhist monk named Trailokara (who belonged to the Bhāskadeva Saṃskārita Śrīkeśavacandrakṛtapārāvatamahāvihāra), and his wife Pūrṇṇāvatī , probably represented with their family in the illumination on folio 223 verso (the members of the family are mentioned in the colophon)."," The Dhāraṇīsaṅgraha, or Dhāraṇīmantrasaṃgraha, 'Dhāraṇī(-mantra) Collection’ includes hundreds of dhāraṇīs, ""connected with",Dhāraṇīsaṅgraha,,,Dhāraṇīsaṅgraha,Dhāraṇīmantrasaṃgraha,https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01326,nep_multi_layered_paper,,,1000132,Nepal,nepālākṣarā,san,10,"39,7","5,5",34
