RecordId,Parent,Reference,Start Date,End Date,Language Codes,Script Codes,MDARK,Scope & Content,Width (cm),Height (cm),Sibling Order,Title,Newari Date,Fragmentary,rKTs Number,Topic/Related Deity,Genre,IdenticalTo
040-002851169,032-002851168,EAP676/1/1,1600,1999,san;new,Newa,ark:/81055/vdc_100023625596.0x000002,"This is a ritual text dealing with ten life cycle rituals. All the Buddhist have to observe ten life cycle ritual as written in this text. They do it. A Vajrācārya priest always leads and presides such rituals. It starts from birth and ends at death. All the ritual sections within the main ritual such purification, Pujā processes, etc. are prescribed by the text. It is popularly called ''Dasa Karma''.It has It has seven folios. It is the paper manuscript",,,1,Daśa Kriyā,,,,,,
040-002851178,032-002851168,EAP676/1/10,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00000b,This test is an eulogy of goddess Tārā. It praises her. Devotees recite it while praying her. It has 4 folios written in Sanskrit. It is in Sanskrit  language. Its paper content looks old. This is the complete text.,,,10,Namastāre Saptaka Viṁśatī,,,K438??,T619,,
040-002851179,032-002851168,EAP676/1/11,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00000c,This is a Dhāraṇī text. It is recited as mantra on specific occassions. It is the complete text in 9 folios. Its script is Pracalit Newārī and the language is Sanskrit . It is a paper manuscript of 18.5 x 6.5 cm in size.,18.5,6.5,11,Mahāmāyā Vidyāvahini nāma Dhāraṇī,,,K678??,,T933,
040-002851180,032-002851168,EAP676/1/12,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x00000d,The Dhāraṇī mantra in the name of Goddess harati is a popular Mantra recited by the Buddhists of Nepal. It is recited while worshipping or venerating the goddess. This is a complete text in 5 folios. It is written in Sanskrit  with Pracalit Newārī script. It is a paper manuscript and in very good condition.,,,12,Hārati nāma Mantra Dhāraṇī,,,,,T933,
040-002851181,032-002851168,EAP676/1/13,1778,1778,san,Newa,ark:/81055/vdc_100023625596.0x00000e,Pañcarakṣā Sutra (sutra of the Five Protective deities) is a very popular and common text of newar Buddhists. This Sutra contains both Sutra and Dhāraṇī contents. This is recited during performing Pancarakshya rituals and worships for mundane benefits. its rituals are performed to ward off evil omens. This text is found from small to larger versions. Mss 013 has only 32 folios which is complete. It is in Sanskrit  language written with Pracalit Newārī script. its colophon mentions the name of  the scribe as Ratna Sagar vajracārya of Tao baha. It was copied in Nepal samvat (Nepal Era) 898 or 1787 CE.. It also contains miniatures of the five transcendental Buddhas.,,,13,Pañcarakṣā Sūtra,898 NS,,T1946,,T933,1
040-002851182,032-002851168,EAP676/1/14,1865,1865,san,Newa,ark:/81055/vdc_100023625596.0x00000f,"Nāmasaṅgīti is a Tantric text. This is all about Bodhisattva Mañjuśrī. This is a common text of Cārya practice among the Newar Buddhist in Kathmandu. Very unusually, this manusccripts contains five images of pañcarakṣa deities. Jnana Vajra vajracārya has written this text. It has 28 folios in pracalit Newārī script. its language is Sanskrit . this manuscript was copied in Nepal Samvat 985 (1894 CE).. It is smeared with yellow substance. It is a complete text and is in very good condition",,,14,Nāmasaṅgīti,985 NS,,K360,,,
040-002851183,032-002851168,EAP676/1/15,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000010,Cakrasaṃvara is a tantric deity who is very popular among the Newār buddhist. His consort is Vajravārāhi. This is an incomlete text but in a very good condition. The place for miniature is left un painted. It contains only 5 folios. It is in Sanskrit written with Pracalit Newārī script.folios 5to 8 are missing. its size is 19.5 x 7.5 cm.,19.5,7.5,15,Cakrasaṃvarasya Mūlamantroddhāraṇī,,,,T423,T933,
040-002851184,032-002851168,EAP676/1/16,1600,1999,san;new,Newa,ark:/81055/vdc_100023625596.0x000011,This is a hindu ritual text. It is a folded book of 31 folios written on both sides.its size is 12.5 x 6 cm. Its author is Daka. It is in Sanskrit  written with Pracalit Newārī script. T is not complete. Some folios are missing. It has several seed syllable tables.,12.5,6,16,Dākakṛta Kākaparikṣā,,,,T1KG89007,,
040-002851185,032-002851168,EAP676/1/17,1600,1999,san,Deva,ark:/81055/vdc_100023625596.0x000012,Bhauma Stotra is a hindu eulogy. It has 4 folios of 16 x 8 cm folios. It is in Sanskrit  written with Devanagari scripts. It is in a very good condition. This stotra has been imbede in the mother text skanda Purāṇa.,16,8,17,Bhauma Stotra,,,,T1KG89007,T933,
040-002851186,032-002851168,EAP676/1/18,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000013,Mahābhārata is a very popular epic of the Hindus. It is copied by baldev Sharma. This manuscript is in Sanskrit  written with Pracalit Newārī script. It has 76 folios of 41 x 9 cm in size. The date of this manuscript id Nepal samvat 796 (1685 CE). It deals with only one chapter of the epic which is the Gada Parva. It is not a comple text.,,,18,Mahābhārata Gadā Parva,,,,T1KG89007,,
040-002851187,032-002851168,EAP676/1/19,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000014,This Mahābhārata manuscript is in Sanskrit  and pracalit script. It has 141 folios. This is written on paper folios. Its size is 42 x 7 cm.this is an incomplete manuscript. Some folios are damaged.,42,7,19,Mahābhārata,,,,T1KG89007,,
040-002851170,032-002851168,EAP676/1/2,1600,1999,san;new,Newa,ark:/81055/vdc_100023625596.0x000003,"This is an astronomical text. Basically it is a Hindu text. Many of the Vajrācāryas from Buddhist community in Lalitpur mastered in astrology and worked accordingly since the medieval times. They use even Hindu astrological and other text for the use of Buddhists in such purposes. It discuses about the planets, their positions and its impact on individuals life. It has 25 folios and partly damaged but text is intact. Folio 1 is missing. language is Sanskrit  written in Devanagari script.",,,2,Tithi Phala Vicāra,,,,T1834,,
040-002851188,032-002851168,EAP676/1/20,1600,1999,san,Newa,ark:/81055/vdc_100023625596.0x000015,This is a hindu ritual text.  It is written by Sri Haripati. Its script is Pracalit Newārī and language is Sanskrit . It has 38 folios written on paper. Some folios of this text are missing.,,,20,Śrī Haripati Viracita Jātaka nāma,,,,T1KG89007,,
