level,id,link,notBefore,notAfter,lang,script,userrestriction,,title,originalsloc,scopecontent0,scopecontent1
fonds,EAP105/1,https://eap.bl.uk/collection/EAP105-1,1100,1940,tib,Tibt,Access is for research purposes only.,,Drametse Monastery Collection,The original records are kept at Drametse Monastry.,The manuscript collection includes a copy of the 46 volume ,"Language(s): Classical Tibetan, and "
seriesc,EAP105/1/1,https://eap.bl.uk/collection/EAP105-1-1,1100,1940,tib,Tibt,Access is for research purposes only.,,Nying ma rNyud 'bum/ (dgra med rtse/),The original records are kept at Drametse Monastry.,46 volumes of the Collection of Ancient Tantras.,
file,EAP105/1/1/1,https://eap.bl.uk/archive-file/EAP105-1-1-1,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum dkar chag,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/10,https://eap.bl.uk/archive-file/EAP105-1-1-10,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum ta,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/11,https://eap.bl.uk/archive-file/EAP105-1-1-11,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum tha,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/12,https://eap.bl.uk/archive-file/EAP105-1-1-12,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum da,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/13,https://eap.bl.uk/archive-file/EAP105-1-1-13,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum na,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/14,https://eap.bl.uk/archive-file/EAP105-1-1-14,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum pa,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/15,https://eap.bl.uk/archive-file/EAP105-1-1-15,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum pha,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/16,https://eap.bl.uk/archive-file/EAP105-1-1-16,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum ba,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/17,https://eap.bl.uk/archive-file/EAP105-1-1-17,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum ma,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/18,https://eap.bl.uk/archive-file/EAP105-1-1-18,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum tsa,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/19,https://eap.bl.uk/archive-file/EAP105-1-1-19,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum tsha,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/2,https://eap.bl.uk/archive-file/EAP105-1-1-2,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum ka,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/20,https://eap.bl.uk/archive-file/EAP105-1-1-20,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum dza,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/21,https://eap.bl.uk/archive-file/EAP105-1-1-21,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum wa,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/22,https://eap.bl.uk/archive-file/EAP105-1-1-22,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum zha,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/23,https://eap.bl.uk/archive-file/EAP105-1-1-23,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum za,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/24,https://eap.bl.uk/archive-file/EAP105-1-1-24,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum 'a,The original records are kept at Drametse Monastry.,,
file,EAP105/1/1/25,https://eap.bl.uk/archive-file/EAP105-1-1-25,1100,1940,tib,Tibt,Access is for research purposes only.,,rnying ma rgyud 'bum ya,The original records are kept at Drametse Monastry.,,
