Work ID,Title,rKTsNumber,Title with diacritics,Author name (not needed for works with rKTs ID),Author RID (idem),BDRC Topic ID (idem),URL,Hyperlink-ID,Input by,Based on,Version Notes (if any)
@id,skos:prefLabel (@en),,skos:prefLabel (@sa-x-iast) + WorkBibliographicTitle,(no migration),:creatorMainAuthor of the abstract work,:workIsAbout,no migration,:originalRecord,note,note,no migration
IE0GR0001,"Abhayakaragupta: Nispannayogavali, chapter 1",T1961,Niṣpannayogāvali,Abhayākaragupta,P4004,,gretil/1_sanskr/4_rellit/buddh/abhnispu.htm,#AbhNisp,"Klaus Wille (Göttingen, Germany)","the edition by R.O. Meisezahl: ""Akṣobhya-Mañjuvajra, Ikonographie und Ikonologie des Ekonaviṃśadātmakamañjuvajramaṇḍala"", Oriens 25-26 (1976), pp. 190-274. = Am",
IE0GR0002,Abhisamacarika-Dharma,,Abhisamācārikadharma,,,,gretil/1_sanskr/4_rellit/buddh/abhisdhu.htm,#Abhisdh,Abhisamacarika-Dharma Study Group,the manuscript of the transliteration of the AbhisamAcArika-Dharma of the MahAsAGghika-LokottaravAdins.,
IE0GR0003,Adbhutadharmaparyaya,,Adbhutadharmaparyāya,,,,gretil/1_sanskr/4_rellit/buddh/adbhutdu.htm,#Abdhutadhp,"Jens-Uwe Hartmann,","the ed. by Yael Bentor, ""The Redactions of the Adbhutadharpamaryāya from Gilgit"", Journal of the International Association of Buddhist Studies 11.2 (1988), pp. 21-52. [Nach drei teilweise unvollständigen Hss. aus Gilgit (Hs. A: GBM 1507.8, 1576-1581.4; Hs. B: 1588-1592.4; Hs. C: 1691.2ff.)]",
IE0GR0004,"Vinayavastu, 16: Adhikaranavastu",K1-16,Adhikaraṇavastu,,,,gretil/1_sanskr/4_rellit/buddh/vinv16_u.htm,#Vinv16,"Seishi Karashima (April 2000), First proofread: K. Wille (June 2000)","the ed. by R. Gnoli: The Gilgit Manuscript of the Śayanāsanavastu and the Adhikaraṇavastu,  Being the 15th and 16th Sections of the Vinaya of the Mūlasarvāstivādin,  Roma 1978 (Serie Orientale Roma, 50)",
IE0GR0005,Adhyardhasatika Prajnaparamita,K17,Adhyardhaśatikā Prajñāpāramitā,,,,gretil/1_sanskr/4_rellit/buddh/adhsatpu.htm,#AdhyardhsatPP,Klaus Wille,"the ed. by Toru Tomabechi: Adhyardhaśatikā Prajñāpāramitā, Sanskrit and Tibetan Texts critically edited, Beijing/Vienna 2009 (Sanskrit Texts from the Tibetan Autonomous Region, 5).",
IE0GR0006,Adhyardhasatika prajnaparamita,K17,Adhyardhaśatikā Prajñāpāramitā,,,,gretil/1_sanskr/4_rellit/buddh/bsu056_u.htm,#DSBC_Su056,members of the Sanskrit Buddhist Input Project,"the ed. by P.L. Vaidya in: Mahayana-sutra-samgrahah, Part 1. Darbhanga: The Mithila Institute 1961 (Buddhist Sanskrit Texts, 17)",
IE0GR0007,Advayasatika Prajnaparamitasutra,K18,Advayaśatikā Prajñāpāramitā Sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu057_u.htm,#DSBC_Su057,members of the Sanskrit Buddhist Input Project,"the edition by M.B. Shakya: Buddhist Himalaya 1.2,  Nepal : Nagarjuna Institute of Exact Methods, 1988, 82-84.",
IE0GR0008,Ahoratravratacaityasevanusamsavadana,,Ahorātravratacaityasevānuśaṃsāvadāna,,,,gretil/1_sanskr/4_rellit/buddh/ahovcs_u.htm,#AhovcsAv,Klaus Wille (Göttingen),"the edition by R. Handurukande, Three Sanskrit Texts on Caitya Worship ḥ In Relation to the Ahorātravrata, Tokyo 2000 (Studia Philologica Buddhica, Monograph Series, 16).",
IE0GR0009,Ahoratravratakatha,,Ahorātravratakathā,,,,gretil/1_sanskr/4_rellit/buddh/ahovk1_u.htm,#Ahovk1,Klaus Wille (Göttingen),"the edition by R. Handurukande, Three Sanskrit Texts on Caitya Worship ḥ In Relation to the Ahorātravrata, Tokyo 2000 (Studia Philologica Buddhica, Monograph Series, 16).",
IE0GR0010,Ahoratravratakatha (Prose version),,Ahorātravratakathā,,,,gretil/1_sanskr/4_rellit/buddh/ahovk2_u.htm,#Ahovk2,Klaus Wille (Göttingen),"the edition by R. Handurukande, Three Sanskrit Texts on Caitya Worship ḥ In Relation to the Ahorātravrata, Tokyo 2000 (Studia Philologica Buddhica, Monograph Series, 16).",
IE0GR0011,Ajitasenavyakarana,,Ajitasenavyākaraṇa,,,,gretil/1_sanskr/4_rellit/buddh/ajitsvyu.htm,#Ajitsvy,Klaus Wille (Göttingen; 02.09.05),"the ed. by N. Dutt in: Gilgit Manuscripts, vol. I, Srinagar 1939, pp. 103-136. 2nd ed. Delhi 1984",
IE0GR0012,Ajitasenavyakarana,,Ajitasenavyākaraṇa,,,,gretil/1_sanskr/4_rellit/buddh/bsu006_u.htm,#DSBC_Su006,members of the Sanskrit Buddhist Input Project,"the edition by N. Dutt, Gilgit Manuscript, vol. I, Delhi : Sri Satguru Publ. 1984, pp. 101-136.",
IE0GR0013,Amoghapasahrdayasutra,,Āmoghapāśanāmahṛdaya sūtra,,,,gretil/1_sanskr/4_rellit/buddh/amoghapu.htm,#Amoghpas,Klaus Wille,"the edition: Āryāmoghapāśanāmahṛdayaṃ mahāyānasūtram, Dhīḥ 38 (2004), pp. 157-169. = AphSū",
IE0GR0014,Amoghapasahrdayasutram,,Āmoghapāśanāmahṛdaya sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu002_u.htm,#DSBC_Su002,members of the Sanskrit Buddhist Input Project,"the edition by M.B. Shakya: Ārya Amoghpāsh hṛdaya nāma Mahāyāna Sūtra. Nepal : NIEM (Buddhist text translation Series, 2), 1988.",
IE0GR0015,Amrtakara: Catuhstavasamasartha,,Catuḥstavasamāsārtha,Amṛtākara,P0ER0001,,gretil/1_sanskr/4_rellit/buddh/acatstvu.htm,#AmrtCss,Klaus Wille (Göttingen),"the edition by G. Tucci. Minor Buddhist Texts, part I. Roma 1956 (Serie Orientale Roma, 9), pp. 238-246.",
IE0GR0016,Anityatasutra,K309,Anityatā sūtra,,,,gretil/1_sanskr/4_rellit/buddh/anitysuu.htm,#Anityatasu,Klaus Wille,"the ed. by Isshi Yamada. ""Anityatāsūtra"", Journal of Indian and Buddhist Studies [= IBK], 20,2 (1972), pp. 1001-996(30-35).",
IE0GR0017,Aparimitayuhsutra,,Aparimitāyuḥ Sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu003_u.htm,#DSBC_Su003,members of the Sanskrit Buddhist Input Project,<not_specified>,
IE0GR0018,Arthaviniscayasutra,K317,Arthaviniścaya sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu005_u.htm,#DSBC_Su005,members of the Sanskrit Buddhist Input Project,"the ed. by P.L. Vaidya in: Mahayana-sutra-samgrahah, Part 1. Darbhanga: The Mithila Institute 1961 (Buddhist Sanskrit Texts, 17)",
IE0GR0019,Aryacaturdharmanirdesasutra,K249,Āryacaturdharmanirdeśa sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu013_u.htm,#DSBC_Su013,members of the Sanskrit Buddhist Input Project,"the edition by Ngawang Samten and Janardan Pandey in: Dhih Journal, vol. 35, Sarnath: Central Institute of Higher Tibetan Studies, 2003, pp. 45-52.",
IE0GR0020,Aryanityatasutra,K309,Āryānityatā sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu001_u.htm,#DSBC_Su001,members of the Sanskrit Buddhist Input Project,"the edition by M.B. Shakya. Buddhist Himalaya Vol.1, No.1. Nepal: Nagarjuna Institute of Exact Methods, 1988, pp. 58-60.",
IE0GR0021,Aryasura: Jatakamala,T3488,Jātakamālā,Āryaśūra,P7588,,gretil/1_sanskr/6_sastra/3_phil/buddh/bsa032_u.htm,#DSBC_Sa032,members of the Sanskrit Buddhist Input Project,"the edition by P.L. Vaidya. Darbhanga: The Mithila Institute, 1959 (Buddhist Sanskrit Texts, 21)",
IE0GR0022,Aryasura: Jatakamala 1-15,T3488,Jātakamālā,Āryaśūra,P7588,,gretil/1_sanskr/6_sastra/3_phil/buddh/ajm_u.htm,#DSBC_Sa032,"Albrecht Hanisch, Mitsuyo Demoto","Hanisch, Albrecht: Aryasuras Jatakamala. Philologische Untersuchungen zu den Legenden 1 bis 15. Teil 1: Einleitung, Textausgabe, Anhänge, Register. Marburg : 2005 (Indica et Tibetica 43/1)",
IE0GR0023,"Asanga: Mahayanasutralamkara, with Vasubandhu's Bhasya",T3359,Mahāyānasūtrālaṃkāra,Asaṅga,P6117,,gretil/1_sanskr/4_rellit/buddh/asmahsbu.htm,#AsMahSuBr,"Jens Braarvig, Oslo 2011","the ed. by Sylvain Lévi: Mahāyānasūtrālaṃkāra, Exposé de la doctrine du Grand Véhicule, vol. I, Paris 1907.",
IE0GR0024,Asanga: Mahayanasutralankara,T3359,Mahāyānasūtrālaṃkāra,Asaṅga,P6117,,gretil/1_sanskr/4_rellit/buddh/asmahsuu.htm,#AsMahSu,members of the Digital Sanskrit Buddhist Canon Input Project Member,"the edition by S. Bagchi: Mahāyānasūtrālaṅkāra of Asaṅga, Darbhaga 1960 [or a reprint of 2000?] (Buddhist Sanskrit Texts, 13).",
IE0GR0025,Sravakabhumi,T3375,Śrāvakabhūmi,Asaṅga,P6117,,gretil/1_sanskr/4_rellit/buddh/srabhu_u.htm,#Sravbhu,"Klaus Wille, Göttingen (Germany)","the edition Srāvakabhūmi, The First Chapter, Revised Sanskrit Text and Japanese Translation, ed. Śrāvakabhūmi Study Group (The Institute for Comprehensive Studies of Buddhism, Taisho University), Tokyo 1998 (Taisho University Sogo Bukkyo Kenyujo, 4). = Śbh I Srāvakabhūmi, The Second Chapter with Asamāhitā bhūmiḥ, Śrutamayī bhūmiḥ, Cintāmayī bhūmiḥ, Revised Sanskrit Text and Japanese Translation, ed. Śrāvakabhūmi Study Group (The Institute for Comprehensive Studies of Buddhism, Taisho University), Tokyo 2007 (Taisho Daigaku Sogobukkyo Kenyujo, 18). = Śbh II",
IE0GR0026,Asanga: Sravakabhumi (Shukla ed.),T3375,Śrāvakabhūmi,Asaṅga,P6117,,gretil/1_sanskr/4_rellit/buddh/srabhusu.htm,#SravbhuShuk,"Ms. Anula Shakya, 2008","the ed. by Karunesha Shukla: Sravakabhumi of Acarya Asanga, Patna : K.P. Jayaswal Research Institute, 1973 (Tibetan Sanskrit Works Series, 14 and 28)",
IE0GR0027,Asanga: Trisatikayah prajnaparamitayah karikasaptatih,,Triśatikāyāḥ prajñāpāramitāyāḥ kārikāsaptatiḥ,Asaṅga,P6117,,gretil/1_sanskr/4_rellit/buddh/atrisatu.htm,#ATrisPPk,Klaus Wille (Göttingen),"the edition by G. Tucci: Minor Buddhist Texts, part I. Roma 1956 (Serie Orientale Roma, 9), pp. 54-92.",
IE0GR0028,Asanga: Sarirarthagatha of the Cintamayibhumi,,Śarīrārthagāthā,Asaṅga,P6117,,gretil/1_sanskr/6_sastra/3_phil/buddh/asycsaru.htm,#AsYogCintSarir,Klaus Wille,"the edition: Fumio Enomoto, ""Śarīrārthagāthā, A Collection of Canonical Verses in the Yogācārabhūmi, Part 1: Text"", Sanskrit-Texte aus dem buddhistischen Kanon: Neuentdeckungen und Neueditionen[, Erste Folge], Göttingen 1989 (Sanskrit-Wörterbuch der buddhistischen Texte aus den Turfan-Funden, Beiheft 2), pp. 17-35.",
IE0GR0029,Asokavadana [= Avadana 29 of the Divyavadana],,Aśokāvadāna,,,,gretil/1_sanskr/4_rellit/buddh/divav29u.htm,#DSBC_Sa056,members of the Sanskrit Buddhist Input Project,"the edition by Sujitkumar Mukhopadhyaya: The Aśokāvadāna.  New Delhi : Sahitya Akademi, 1963.",
IE0GR0030,"Astadasasahasrika Prajnaparamita, Parivartas 55 - 70 (first part)",K10,Aṣṭādaśasāhasrikā Prajñāpāramitā,,,,gretil/1_sanskr/4_rellit/buddh/adsp55-u.htm,#AstadasPp,"Klaus Wille (Göttingen, Germany)","the edition by Edward Conze: The Gilgit Manucript of the Aṣṭādaśasāhasrikāprajñāpāramitā,  Chapters 55 to 70, Corresponding to the 5th Abhisamaya. Roma 1962 (Serie Orientale Roma, 26). = AdSPG I and Edward Conze: The Gilgit Manuscript of the Aṣṭādaśasāhasrikāprajñāpāramitā, Chapters 70 to 82, Corresponding to the 6th, 7th and 8th Abhisamayas. Roma 1974 (Serie Orientale Roma, 46). = AdSPG II",Parivartas 55 - 70
IE0GR0031,"Astadasasahasrika Prajnaparamita, Parivartas 70 (contd.) - 82",K10,Aṣṭādaśasāhasrikā Prajñāpāramitā,,,,gretil/1_sanskr/4_rellit/buddh/adsp70-u.htm,#AstadasPp,"Klaus Wille (Göttingen, Germany)","the edition by Edward Conze: The Gilgit manuscript of the Aṣṭādaśasāhasrikāprajñāpāramitā, chapters 70 to 82, corresponding to the 6th, 7th and 8th Abhisamayas. Roma 1974 (Serie Orientale Roma, 46) = AdSPG II",Parivartas 70 (contd.) - 82
IE0GR0032,Astasahasrika Prajnaparamita,K12,Aṣṭasāhasrikā Prajñāpāramitā,,,,gretil/1_sanskr/4_rellit/buddh/bsu049_u.htm,#DSBC_Su049,members of the Sanskrit Buddhist Input Project,"the edition by P.L. Vaidya, Darbhanga : The Mithila Institute, 1960 (Buddhist Sanskrit Texts, 4).",
IE0GR0033,Avadanasataka,K343,Avadānaśataka,,,,gretil/1_sanskr/4_rellit/buddh/avsata_u.htm,#Avsat,Klaus Wille (completed 27. April 2001; last corrections October 2005),"the following editions: - Ed. P.L. Vaidya, Darbhanga 1958 (Buddhist Sanskrit Texts ; 19) - Ed. J.S. Speyer, St. Petersbourg, 2 vols., 1906-1909 (Bibliotheca Buddhica ; 3)",
IE0GR0034,Ayuhparyantasutra,K307,Āyuḥparyanta sūtra,,,,gretil/1_sanskr/4_rellit/buddh/ayuhparu.htm,#Ayuhpar,Klaus Wille,"the ed. by H. Matsumura: Ayuhparyantasutra, Das Sutra von der Lebensdauer in den verschiedenen Welten, Göttingen 1989 (Sanskrit-Texte aus dem buddhistischen Kanon: Neuentdeckungen und Neueditionen, Erste Folge; SWTF, Beiheft 2), pp. 69-100.  and Gilgit Buddhist Manuscripts (Facsimile Edition), ed. by Raghu Vira and Lokesh Chandra, 10 pts., New Delhi 1959-1974 (Śata-Piṭaka Series, 10); revised and enlarged compact edition in 3 pts., Delhi 1995 (Bibliotheca Indo-Buddhica Series, 150-152).",
IE0GR0035,Bhaisajyaguruvaiduryaprabharajasutra,K503,Bhaiṣajyaguruvaidūryaprabharāja sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu012_u.htm,#DSBC_Su012,members of the Sanskrit Buddhist Input Project,"the ed. by P.L. Vaidya in: Mahayana-sutra-samgrahah, Part 1. Darbhanga: The Mithila Institute 1961 (Buddhist Sanskrit Texts, 17)",
IE0GR0036,Bhaisajyavastu of the Vinayavastvagama [Vastu 6],K1-6,Bhaiṣajyavastu,,,,gretil/1_sanskr/4_rellit/buddh/vinv_06u.htm,#Vinv06,Klaus Wille (Göttingen),"the edition by N. Dutt. Gilgit Manuscript, vol. 1-4, Calcutta, Srinagar 1939-1959.",
IE0GR0037,Bhavasankrantisutra,K226,Bhavasaṅkrānti sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu010_u.htm,#DSBC_Su010,members of the Sanskrit Buddhist Input Project,"the edition by N. Aiyaswami Shastri: Bhavasaṅkrānti Sūtra. Madras: Adyar Library, 1938, pp. 1-6.",
