TOL,BDRC,URL
P5,P00AG02484,https://treasuryoflives.org/biographies/view/Gyerton-Tsultrim-Sengge/5
P9,P00AG0428,https://treasuryoflives.org/biographies/view/Mandarava/9
P23,P00EGS1016642,https://treasuryoflives.org/biographies/view/Ratnākaraśānti/23
P29,P00EGS1016721,https://treasuryoflives.org/biographies/view/Gyara-Tulku-08-Lobzang-Tendzin-Chokyi-Wangchuk/29
P61,P00EGS1017135,https://treasuryoflives.org/biographies/view/Dorje-Sherab/61
P84,P00EGS1017608,https://treasuryoflives.org/biographies/view/Lasum-Gyelwa-Jangchub/84
P86,P00EGS1017610,https://treasuryoflives.org/biographies/view/Langdro-Konchok-Jungne/86
P96,P00EGS1017620,https://treasuryoflives.org/biographies/view/Lang-Pelgyi-Sengge/96
P276,P00KG09732,https://treasuryoflives.org/biographies/view/Namgyel-Gyatso/276
P303,P4CZ10564,https://treasuryoflives.org/biographies/view/Nanam-Dorje-Dudjom/303
P490,P0RK1217,https://treasuryoflives.org/biographies/view/Pelgyi-Wangchuk/490
P494,P0RK1221,https://treasuryoflives.org/biographies/view/Dangma-Lhungyel/494
P495,P0RK1222,https://treasuryoflives.org/biographies/view/Chetsun-Sengge-Wangchuk/495
P620,P0RK1366,https://treasuryoflives.org/biographies/view/Damcho-Lingpa/620
P726,P0RK1485,https://treasuryoflives.org/biographies/view/Paṇchen-Namkha-Pelsang-/726
P1029,P0RK27,https://treasuryoflives.org/biographies/view/Khenchen-Sonam-Pel/1029
P1035,P0RK28,https://treasuryoflives.org/biographies/view/Khenchen-Tashi-Tsultrim/1035
P1108,P7743,https://treasuryoflives.org/biographies/view/Namkai-Nyingpo/1108
P1370,P0RK79,https://treasuryoflives.org/biographies/view/Khon-Lui-Wangpo/1370
P1564,P1003,https://treasuryoflives.org/biographies/view/Samten-Gyatso/1564
P1575,P1004,https://treasuryoflives.org/biographies/view/Third-Tongkhor-Gyelwa-Gyatso/1575
P1586,P1005,https://treasuryoflives.org/biographies/view/Drubkhangpa-Gelek-Gyatso/1586
P1597,P1006,https://treasuryoflives.org/biographies/view/Sixth-Karmapa-Tongwa-Donden/1597
P1628,P10090,https://treasuryoflives.org/biographies/view/Machik-Jobum/1628
P1637,P101,https://treasuryoflives.org/biographies/view/Paṇchen-Sonam-Drakpa/1637
P1639,P10100,https://treasuryoflives.org/biographies/view/Namgyel-Gonpo/1639
P1722,P1018,https://treasuryoflives.org/biographies/view/Langlap-Jangchub-Dorje/1722
